title,price,link
"HP ProBook 650 G4 Ultra Book Core i7 8th generation, 8GB DDR4 Ram 256GB Solid State Drive SSD 15.6"" FHD Led Display, Numeric Keypad Intel HD Graphics","Rs. 78,999",//www.daraz.pk/products/hp-650-g4-i7-8th-8gb-ddr4-256gb-fhd-led-hd-i538982111.html
Latitude 12 5285 2-in-1 Laptop - Core i5 7th Generation - 12.3 inch FHD TouchScreen Laptop - RAM 8GB LPDDR3 1866MHz - 256GB NVME SSD - Windows 10 Professional (Renewed),"Rs. 52,500",//www.daraz.pk/products/latitude-12-5285-2-in-1-laptop-core-i5-7th-generation-123-inch-fhd-touchscreen-laptop-ram-8gb-lpddr3-1866mhz-256gb-nvme-ssd-windows-10-professional-renewed-i230424404.html
"Hp Chromebook 11 G6 EE - 4GB RAM DDR4 - 16GB SSD EMMC - Playstore supported - 11.6"" screen","Rs. 9,699",//www.daraz.pk/products/hp-chromebook-11-g6-ee-4gb-ram-ddr4-16gb-ssd-emmc-playstore-supported-116-screen-i490662385.html
"DELL Latitude E6430 i5-3320M Notebook 35.6 cm (14"") HD+ Intel® Core™ i5 4 GB DDR3-SDRAM 320 GB HDD NVIDIA® NVS™ 5200M Windows 7 Professional Black, Silver","Rs. 26,999",//www.daraz.pk/products/e6430-i5-3320m-356-14-hd-i5-4-gb-ddr3-sdram-gb-hdd-nvidianvs5200-7-i406654686.html
Screen Protector Film For Samsung Galaxy Tab A9 Plus 11 inch 2023 А9+ 11 SM-X216 5G A9 8.7 Matte PET Painting Write,"Rs. 4,190",//www.daraz.pk/products/9-11-2023-9-11-216-5-9-87-i534346585.html
"DELL Core i5-8th Generation | 8GB DDR4 RAM , 128GB M2 SSD Hard | 5Hours+ Battery Backup | 6 MONTHS WARRANTY | FREE Wireless Mouse | Dell 3300","Rs. 58,000",//www.daraz.pk/products/dell-core-i5-8th-generation-8gb-ddr4-ram-128gb-m2-ssd-hard-5hours-battery-backup-6-months-warranty-free-wireless-mouse-dell-3300-i363769366.html
"HP ProBook 450 G3 Notebook PC Intel Core i5 6th Generation, 8GB DDR3 Ram, 256GB SSD Drive, 15.6"" Led Display, Intel HD Graphics Card, Numeric Keypad","Rs. 49,999",//www.daraz.pk/products/hp-450-g3-i5-6th-8gb-ddr3-256gb-ssd-156-led-hd-i539352923.html
"Dell 7320 i7-11th Generation | 16GB DDR4 Ram , 512GB M2 SSD | 7Hours Battery Backup | 6 Months Warranty | FREE LAPTOP BAG | FREE WIRELESS MOUSE | FREE LAPTOP CLEANER | Charger Included | Back-Lit Keyboard","Rs. 155,000",//www.daraz.pk/products/dell-7320-i7-11th-generation-16gb-ddr4-ram-512gb-m2-ssd-7hours-battery-backup-6-months-warranty-free-laptop-bag-free-wireless-mouse-free-laptop-cleaner-charger-included-back-lit-keyboard-i347554804.html
_DELL Core i5-7th Generation| 16GB RAM 256GB SSD[Hard Drive][HD] 4Hours+ Battery Backup,"Rs. 82,000",//www.daraz.pk/products/3-hd-16gb-1-gb-ssd-i362155754.html
HP 15S-FD0110TU Core i7-1355U 16GB DDR4 512GB PCIe Value Intel Iris Xe 15.6 FHD Antiglare slim IPS 250 nits Narrow Border Windows 11 Home Natural Silver (1 Year Warranty),"Rs. 290,000",//www.daraz.pk/products/hp-15s-fd0110tu-core-i7-1355u-16gb-ddr4-512gb-pcie-value-intel-iris-xe-156-fhd-antiglare-slim-ips-250-nits-narrow-border-windows-11-home-natural-silver-1-year-warranty-i423163226.html
